DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
af_0058_0056_a3	2.0
af_0058_0056_c3	2.0
af_0058_0056_c3	2.0
af_0058_0083_e2	2.0
af_0058_0083_e2	2.0
af_0058_0056_f5	2.0
af_0058_0056_f5	2.0
af_0058_0056_a4	2.0
af_0058_0056_a4	2.0
an_0080_0058_b5	2.0
an_0080_0058_b5	2.0
an_0080_0058_g1	2.0
an_0080_0058_g1	2.0
af_0058_0071_h5	2.0
af_0058_0071_h5	2.0
an_0080_0058_h2	2.0
an_0080_0058_h2	2.0
af_0058_0056_b5	2.0
af_0058_0056_b5	2.0
af_0058_0056_b3	2.0
af_0058_0056_b3	2.0
an_0080_0058_b2	3.0
an_0080_0058_b2	3.0
an_0080_0058_b2	3.0
af_0058_0077_e3	2.0
af_0058_0077_e3	2.0
an_0080_0058_h5	2.0
an_0080_0058_h5	2.0
af_0058_0056_g6	2.0
af_0058_0056_g6	2.0
af_0058_0056_e6	2.0
af_0058_0056_e6	2.0
af_0058_0071_h4	2.0
af_0058_0071_h4	2.0
an_0080_0058_g6	2.0
an_0080_0058_g6	2.0
an_0080_0058_h1	2.0
an_0080_0058_h1	2.0
an_0080_0058_e3	3.0
an_0080_0058_e3	3.0
an_0080_0058_e3	3.0
an_0080_0058_b6	2.0
an_0080_0058_b6	2.0
an_0080_0058_b3	2.0
an_0080_0058_b3	2.0
an_0080_0058_e4	2.0
an_0080_0058_e4	2.0
am_0070_0084_f4	1.0
av_0103_0014_g5	3.0
av_0103_0014_g5	3.0
av_0103_0014_g5	3.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
